	index	name	perm	sar_00	sar_01	sar_02	sar_03	sar_04	sdr_00	sdr_01	sdr_02	sdr_03	sdr_04	sir_00	sir_01	sir_02	sir_03	sir_04
10	10	song011_all.wav	0 3 1 2 4	-3.106959603827897	3.9180746632238117	-12.04318089794004	-12.242232226513657	-1.3161141640120835	-7.146289749937196	-2.9039672866851927	-30.22625425546061	-21.033109588873028	-1.3405464968267569	-0.13141030485756283	-0.4130309860189789	-17.853404168496652	-7.923841796244902	24.88788059449525
11	11	song012_all.wav	1 3 2 0 4	-22.42134078713204	-21.828000066113965	-22.27715949820769	-22.421243250376882	-22.472411653295083	-32.247952063503675	-23.415841800288717	-31.248345234688433	-33.50176417308203	-34.172293157659766	-9.324538990739027	3.5801039411663864	-8.357036040601182	-10.70315605080343	-11.371348388741943
12	12	song013_all.wav	0 2 1 3 4	-8.000335445301612	-14.38179434720712	-15.258701765731388	-1.9169795091116937	-5.7338431651677455	-16.026875458059028	-17.874189450445815	-23.295887498966273	-7.969208449997404	-5.843099566663657	-6.643242308490511	-0.760454716055503	-7.167246230239128	-2.6566015112081938	16.966617687538307
13	13	song014_all.wav	0 1 4 2 3	-18.348392078230653	-19.155899408931084	-14.313917130093156	-18.755322712404336	-13.163799683525301	-19.776192857893054	-24.20595768709414	-17.52318440094542	-25.8615964932029	-19.728841090290253	4.160790423673902	-3.3697010703522237	-0.23128439301769319	-6.108373296998737	-5.278250516545297
14	14	song015_all.wav	0 1 4 3 2	-18.727886162623943	-18.01336465260058	-16.218857391436302	-15.61126674054091	-17.660537605566752	-24.522563163895505	-24.0414362559596	-18.24923817013351	-18.940019895487467	-25.017296652095418	-4.409469494850132	-4.713088858982432	2.3499076440330047	-0.49744671126319573	-6.400976710890731
15	15	song016_all.wav	1 3 0 2 4	-12.890624490855068	2.0127448424380723	-4.529752527073568	-12.613405354068664	-2.71069839140404	-23.913551435655492	-3.965683807652929	-12.374212354292354	-18.780514560907697	-2.757097783371691	-10.447787207391245	-0.5826479088853	-5.754105522253521	-4.733841842495857	21.55259341133467
16	16	song017_all.wav	4 1 3 2 0	-20.56326784593084	-18.449004343208138	-19.72622821139543	-20.104421872180755	-20.998249171434843	-26.020765510672813	-19.758837355076672	-27.762902159151352	-28.837379514740444	-29.869050624762448	-3.964945814688883	4.595950427779648	-7.248132178534217	-8.066563972979798	-8.233146526509827
17	17	song018_all.wav	0 3 4 2 1	-15.207074707571165	-9.572648454101962	-11.677506634553973	-17.887114121847905	-17.601053803082976	-15.70326101998251	-16.99863354625119	-15.800544751770605	-24.005818700324436	-30.965807956904836	9.29994653293241	-6.104874213580872	-1.7121888485802728	-4.831457185842204	-13.085062386851183
18	18	song019_all.wav	0 4 1 2 3	-21.97402373793626	-20.903117627660343	-19.279882801395015	-20.303636015616252	-19.08399600258005	-31.67973673534299	-25.328236698591084	-23.04857934553356	-26.61667278075008	-23.97946257764028	-9.186694356752703	-2.4451026461827374	-1.3528757204157076	-5.116601156028516	-3.142074067052582
19	19	song020_all.wav	4 0 1 3 2	-18.644504921334555	-19.05416520212364	-17.58268227173829	-16.7892144489668	-18.3731619578718	-23.486605896838988	-28.209884711964428	-22.022486837581965	-20.13851711881489	-26.649595100093183	-3.0572669520405427	-8.539678283685666	-2.4280752868927067	-0.5634256592026553	-7.514470755890477
