	index	name	perm	sar_00	sar_01	sar_02	sar_03	sdr_00	sdr_01	sdr_02	sdr_03	sir_00	sir_01	sir_02	sir_03
11	11	Detsky Sad - Walkie Talkie_0.wav	0 2 1 3	-17.016032850260416	-17.321376163115637	-18.810736310659944	-18.790293010839672	-20.392769277790425	-29.579976753798164	-29.426371781202228	-22.316563337866437	-0.6188592508348595	-11.912691119551917	-10.164636073357403	-0.9200945942929195
12	12	Enda Reilly - Cur An Long Ag Seol_0.wav	3 0 2 1	-21.086457482236828	-21.076614123938082	-22.086229898571226	-20.89079217111419	-25.80966290875952	-25.910395846719982	-29.45989225433211	-24.32911433965364	-2.904402507285258	-3.07005646620544	-6.468692962358925	-0.7823867043675701
13	13	Forkupines - Semantics_0.wav	3 1 0 2	-24.637595325589132	-23.94194141394587	-23.550588946113912	-23.60521290114635	-29.513043033154464	-32.00381474199177	-32.186601331201906	-26.33624696375456	-3.150826112341125	-7.306537805051753	-7.977498629072594	0.5966249163521761
14	14	Georgia Wonder - Siren_0.wav	2 3 1 0	-25.544906345567355	-26.104919166190584	-27.512434762839565	-24.897177478655625	-31.893938103239925	-32.435819676181296	-32.802143138105755	-27.634958573187014	-5.1917275904567814	-5.169572457594973	-3.7588443213893723	0.5773298477657243
15	15	Girls Under Glass - We Feel Alright_0.wav	0 3 2 1	-24.15720354108351	-26.097338798356013	-26.02562723970434	-27.273334804789272	-28.383907458691297	-32.66365718424365	-30.029090289310943	-32.53718844600528	-2.1489501374170237	-5.4739398260892695	-1.790112493433359	-3.721647030501225
16	16	Hollow Ground - Ill Fate_0.wav	2 0 1 3	-23.845680403236575	-25.037741511485322	-24.710328004660763	-24.713525980534286	-30.795107926275662	-28.596105450449166	-28.67472415055947	-31.73875815243965	-5.952322510803587	-1.0210566884929306	-1.7212210447795881	-6.050324503147868
17	17	James Elder & Mark M Thompson - The English Actor_0.wav	3 1 2 0	-20.262833067425593	-19.238006121065357	-18.118553888061943	-16.900267409935086	-31.535722421785508	-30.141910385305057	-28.614871026269103	-17.523181082232497	-10.895518809662	-10.484614064102002	-10.024077717068531	8.206158681079964
18	18	Juliet's Rescue - Heartbeats_0.wav	3 1 0 2	-14.906594990104535	-16.80035767152171	-18.532322008658085	-16.807186565664477	-15.244330306288624	-32.082513273481794	-26.454465718996776	-29.23921714450865	11.06021884824413	-15.061718320544134	-7.097451227215982	-12.086934380994522
19	19	Little Chicago's Finest - My Own_0.wav	0 2 3 1	-15.851624810437528	-19.307394606665753	-19.637514708493523	-18.765276201476134	-16.511767705936794	-29.401056654835934	-28.483766863472127	-26.598327472956278	7.958651123192145	-9.595728499844814	-8.192346580506639	-6.99414290585573
20	20	Louis Cressy Band - Good Time_0.wav	3 0 2 1	-23.015978945051643	-19.712629269310632	-19.852762039029418	-20.542889187212726	-32.29542263788318	-29.674910108539912	-26.299128445366993	-22.56266096719163	-8.7122648239442	-9.454340379368444	-5.285408645800581	2.3140236306304933
21	21	Lyndsey Ollard - Catching Up_0.wav	0 1 3 2	-16.159684973025715	-16.09798364259815	-15.03193538746483	-14.643394445760995	-26.07450702406932	-27.252971133981315	-30.01417623154323	-15.185342872918529	-9.34378017960971	-10.703292523230804	-14.707871573320121	8.911058612290617
22	22	M.E.R.C. Music - Knockout_0.wav	1 2 0 3	-9.770612506545417	-11.954323359322112	-11.93725997004524	-10.736968201615966	-10.314510504893665	-22.0372551702861	-18.669482371967515	-24.044398584809493	9.183169892932886	-9.366026391883796	-5.42682209961643	-12.747891135555118
